"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"Oracle_1d:f5:c9","Broadcast","2","128","2","128","0","0","49.371765000","0.0000","22755555.56","N/A"
"Oracle_f8:1a:3a","Broadcast","2","128","2","128","0","0","118.051124000","0.0000","23813953.49","N/A"
"Oracle_ff:3d:14","Broadcast","2","128","2","128","0","0","208.987192000","0.0000","30117647.06","N/A"
"Oracle_24:3f:fd","Cisco_e8:e7:80","2","128","2","128","0","0","27.712752000","0.0000","39384615.39","N/A"
"Dell_b2:69:7a","Broadcast","2","510","2","510","0","0","169.673510000","0.0000","815999997.42","N/A"
"Vmware_a0:42:51","Broadcast","2","534","2","534","0","0","22.399959000","0.0000","854399999.73","N/A"
"Apple_37:1a:fb","IPv4mcast_fb","2","182","2","182","0","0","93.816695000","0.0000","291199999.91","N/A"
"Apple_36:ec:89","IPv4mcast_fb","2","186","2","186","0","0","93.891509000","0.0000","297599999.91","N/A"
"Oracle_82:f7:b9","Broadcast","2","128","2","128","0","0","161.470866000","0.0000","204800000.52","N/A"
"Ibm_b7:37:f7","Broadcast","2","128","2","128","0","0","181.656642000","0.0000","204800000.52","N/A"
"IntelCor_86:b2:c7","Broadcast","1","64","1","64","0","0","0.607336000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Vmware_46:44:bc","1","66","1","66","0","0","2.586195000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Netapp_0d:d2:94","1","66","1","66","0","0","9.360826000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Netapp_0d:77:5e","1","66","1","66","0","0","9.422351000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Netapp_0d:d3:8e","1","66","1","66","0","0","10.888246000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Netapp_0d:d3:8c","1","66","1","66","0","0","10.925352000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Netapp_0d:d3:64","1","66","1","66","0","0","10.935741000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Netapp_0d:d3:8d","1","66","1","66","0","0","10.948843000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Netapp_0d:d3:65","1","66","1","66","0","0","10.965909000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Netapp_0d:77:61","1","66","1","66","0","0","10.991952000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Netapp_0d:76:7c","1","66","1","66","0","0","10.997079000","0.0000","N/A","N/A"
"Dell_61:24:c8","Broadcast","1","247","1","247","0","0","16.554707000","0.0000","N/A","N/A"
"Broadcom_2c:01:97","IPv4mcast_53:52:4f","1","64","1","64","0","0","18.272960000","0.0000","N/A","N/A"
"Vmware_9b:64:fe","Broadcast","1","64","1","64","0","0","22.173231000","0.0000","N/A","N/A"
"Broadcom_2b:b2:6f","IPv4mcast_53:52:4f","1","64","1","64","0","0","22.724215000","0.0000","N/A","N/A"
"Cisco_30:1d:00","Vmware_a0:13:79","1","70","1","70","0","0","23.321572000","0.0000","N/A","N/A"
"All-HSRP-routers_00","Cisco_e8:e7:80","1","167","0","0","1","167","25.845898000","0.0000","N/A","N/A"
"All-HSRP-routers_00","Computer_73:d2:09","1","64","1","64","0","0","27.856024000","0.0000","N/A","N/A"
"Broadcom_2b:b2:6f","IPv4mcast_53:52:4d","1","92","1","92","0","0","29.809028000","0.0000","N/A","N/A"
