"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"244.3.153.48","1513","244.3.176.224","445","21","2002","14","1225","7","777","28.081244000","182.5596","53.68","34.05"
"244.3.153.48","1519","41.177.3.117","445","21","2002","14","1225","7","777","28.082437000","182.5585","53.68","34.05"
"223.72.203.218","50967","41.177.26.151","80","16","7840","8","822","8","7018","51.359228000","182.4906","36.03","307.65"
"244.3.41.84","2636","244.3.31.67","1592","84","28069","45","13578","39","14491","30.774819000","182.4766","595.28","635.30"
"244.3.34.55","3888","244.3.31.40","22","12","1104","8","744","4","360","33.883948000","181.6667","32.76","15.85"
"244.3.153.34","52687","41.177.24.241","993","40","11121","22","5402","18","5719","25.360492000","181.5387","238.05","252.02"
"244.3.153.34","52684","41.177.24.241","993","25","2358","16","1392","9","966","25.308482000","181.1190","61.48","42.67"
"244.3.153.111","2450","41.177.3.117","445","68","14760","36","7480","32","7280","24.617065000","180.7163","331.13","322.27"
"244.3.31.84","31111","41.177.180.176","3938","8","728","0","0","8","728","34.737236000","180.5327","N/A","32.26"
"244.3.141.84","31100","244.3.41.84","2594","13","1202","5","398","8","804","6.989960000","180.4358","17.65","35.65"
"244.3.31.84","31100","244.3.41.84","2596","12","1132","4","328","8","804","6.998674000","180.4267","14.54","35.65"
"253.37.253.31","1132","253.37.253.254","1024","8","512","4","256","4","256","22.077482000","180.3789","11.35","11.35"
"244.3.31.84","61562","41.177.180.176","31111","4","328","0","0","4","328","34.849782000","180.3367","N/A","14.55"
"244.3.153.142","51016","41.177.24.241","5222","25","5165","14","1753","11","3412","32.477652000","180.2881","77.79","151.40"
"244.3.153.142","55497","244.3.176.68","445","18","1716","12","1050","6","666","29.551668000","180.2821","46.59","29.55"
"244.3.153.142","50774","41.177.46.23","445","397","176422","172","18727","225","157695","29.551743000","180.2821","831.01","6997.70"
"41.106.176.15","53786","41.177.241.46","443","32","7703","13","5140","19","2563","35.082644000","180.2657","228.11","113.74"
"244.3.31.84","61344","244.3.41.84","31100","12","1128","8","800","4","328","22.080874000","180.2486","35.51","14.56"
"41.106.180.77","60133","41.177.241.46","443","31","6911","13","4412","18","2499","45.156963000","180.2335","195.83","110.92"
"168.91.64.164","39710","244.3.210.255","1723","12","864","4","312","8","552","32.806014000","180.2017","13.85","24.51"
"244.3.141.84","47736","244.3.41.84","31100","12","1128","8","800","4","328","6.963820000","180.1653","35.52","14.56"
"151.77.15.128","1864","41.177.241.46","443","28","5724","12","3632","16","2092","12.818075000","180.1191","161.32","92.92"
"244.3.210.255","1152","242.194.160.18","80","16","8388","8","744","8","7644","45.494493000","180.0718","33.05","339.60"
"203.123.156.224","48891","41.177.98.156","25","4","480","0","0","4","480","49.346830000","180.0325","N/A","21.33"
"203.68.117.241","50074","41.177.26.91","8000","4","256","0","0","4","256","9.876327000","180.0324","N/A","11.38"
"41.177.26.151","8000","66.55.75.213","2123","4","256","4","256","0","0","30.886660000","180.0324","11.38","N/A"
"41.177.26.91","8000","214.111.3.85","4762","4","5672","4","5672","0","0","39.706967000","180.0323","252.04","N/A"
"244.3.153.34","52693","41.177.24.241","5222","21","4375","14","1687","7","2688","28.006113000","180.0060","74.98","119.46"
"244.3.153.34","52694","41.177.24.241","5222","21","4487","14","1687","7","2800","28.043619000","180.0056","74.98","124.44"
"168.82.82.108","2237","41.177.26.176","80","4","6040","0","0","4","6040","34.324318000","179.9999","N/A","268.44"
"165.160.217.193","55540","41.177.26.176","80","4","5032","0","0","4","5032","5.734425000","179.9998","N/A","223.64"
"41.177.176.156","16077","244.3.160.239","80","4","256","0","0","4","256","4.004497000","179.9979","N/A","11.38"
"90.210.201.231","8421","244.3.160.239","80","4","280","0","0","4","280","7.544479000","179.9979","N/A","12.44"
"254.204.39.13","11148","244.3.160.239","80","4","6072","0","0","4","6072","19.694523000","179.9979","N/A","269.87"
"244.3.153.197","49700","41.177.4.31","5222","15","3205","10","1205","5","2000","32.475215000","179.3840","53.74","89.19"
"244.3.153.239","1492","41.177.24.241","993","12","1008","8","616","4","392","54.324284000","178.4284","27.62","17.58"
"41.106.180.204","58774","41.177.241.46","443","10","640","0","0","10","640","45.831786000","175.4250","N/A","29.19"
"41.177.98.220","7010","244.3.142.57","1884","67","41876","37","25762","30","16114","58.801142000","175.3469","1175.36","735.18"
"41.177.93.84","1106","244.3.41.84","23","21","9284","10","815","11","8469","9.909858000","174.3085","37.40","388.69"
"244.3.41.84","2629","244.3.31.67","1592","82","32078","45","17857","37","14221","29.678890000","174.2107","820.02","653.05"
"122.244.155.71","52380","41.177.98.127","210","12","2529","8","862","4","1667","29.650705000","173.4847","39.75","76.87"
"41.177.24.241","5222","244.3.153.111","2490","10","1140","5","548","5","592","9.526783000","173.3108","25.30","27.33"
"41.177.98.143","8001","224.41.61.218","1316","85","14051","42","9919","43","4132","52.603581000","173.2320","458.07","190.82"
"253.116.23.165","3885","253.37.253.43","23","33","23013","0","0","33","23013","5.874253000","170.4123","N/A","1080.34"
"41.177.24.241","5222","244.3.153.67","1280","36","6216","18","2416","18","3800","9.811482000","170.1530","113.59","178.66"
"41.177.98.220","7080","244.3.79.201","1479","129","92850","79","88590","50","4260","57.269022000","169.3802","4184.20","201.20"
"244.3.79.176","1686","41.177.98.167","1521","3726","664668","1874","214270","1852","450398","31.656601000","168.1792","10192.46","21424.67"
"41.177.98.220","7010","244.3.79.176","1689","1126","358422","537","182793","589","175629","31.964199000","168.0722","8700.69","8359.69"
"41.177.13.164","1254","244.3.41.84","23","76","39324","36","5294","40","34030","12.186521000","166.4518","254.44","1635.55"
"41.177.24.241","5222","244.3.153.56","3885","8","784","4","256","4","528","14.772140000","165.1275","12.40","25.58"
"41.177.24.241","5222","244.3.153.106","2239","10","1316","5","724","5","592","30.785864000","165.1256","35.08","28.68"
"41.177.24.108","5222","244.3.153.235","1659","8","784","4","256","4","528","52.773992000","165.1239","12.40","25.58"
