"No.","Time","Source","Destination","Protocol","Source Port","Destination Port","Length","Time delta from previous captured frame","Sequence number","Time since reference or first frame","Syn","Acknowledgment","Stream index","Info"
"304362","74.308473","244.3.160.239","244.3.160.204","TCP","80","35501","64","0.000414000","1","74.308473000","Not set","Set","3640","80  >  35501 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"304452","74.333697","244.3.160.239","244.3.160.204","TCP","443","35499","64","0.000498000","1","74.333697000","Not set","Set","3638","443  >  35499 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"304525","74.377996","244.3.160.204","244.3.160.239","TCP","35501","80","64","0.000038000","2","74.377996000","Not set","Set","3640","35501  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"304641","74.400527","244.3.160.204","244.3.160.239","TCP","35499","443","64","0.000405000","2","74.400527000","Not set","Set","3638","35499  >  443 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"308643","76.207141","244.3.160.204","244.3.160.239","TCP","35830","443","64","0.000198000","0","76.207141000","Set","Not set","3694","35830  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"308644","76.207236","244.3.160.239","244.3.160.204","TCP","443","35830","64","0.000095000","0","76.207236000","Set","Set","3694","443  >  35830 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"308647","76.207422","244.3.160.204","244.3.160.239","TCP","35831","8080","64","0.000005000","0","76.207422000","Set","Not set","3695","35831  >  8080 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"308649","76.207464","244.3.160.239","244.3.160.204","TCP","8080","35831","64","0.000038000","1","76.207464000","Not set","Set","3695","8080  >  35831 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"308652","76.207652","244.3.160.204","244.3.160.239","TCP","35832","80","64","0.000004000","0","76.207652000","Set","Not set","3696","35832  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"308654","76.207738","244.3.160.239","244.3.160.204","TCP","80","35832","64","0.000047000","0","76.207738000","Set","Set","3696","80  >  35832 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"308843","76.309962","244.3.160.204","244.3.160.239","TCP","35830","443","64","0.000068000","1","76.309962000","Not set","Set","3694","35830  >  443 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"308845","76.310101","244.3.160.204","244.3.160.239","TCP","35830","443","64","0.000032000","1","76.310101000","Not set","Set","3694","35830  >  443 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"308846","76.310181","244.3.160.239","244.3.160.204","TCP","443","35830","64","0.000080000","1","76.310181000","Not set","Set","3694","443  >  35830 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"308847","76.311557","244.3.160.204","244.3.160.239","TCP","35832","80","64","0.001376000","1","76.311557000","Not set","Set","3696","35832  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"308848","76.311695","244.3.160.204","244.3.160.239","TCP","35832","80","64","0.000138000","1","76.311695000","Not set","Set","3696","35832  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"308849","76.311776","244.3.160.239","244.3.160.204","TCP","80","35832","64","0.000081000","1","76.311776000","Not set","Set","3696","80  >  35832 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"308850","76.312208","244.3.160.239","244.3.160.204","TCP","80","35832","64","0.000432000","1","76.312208000","Not set","Set","3696","80  >  35832 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"308851","76.313679","244.3.160.239","244.3.160.204","TCP","443","35830","64","0.001471000","1","76.313679000","Not set","Set","3694","443  >  35830 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"308995","76.381529","244.3.160.204","244.3.160.239","TCP","35832","80","64","0.000626000","2","76.381529000","Not set","Set","3696","35832  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"309007","76.383179","244.3.160.204","244.3.160.239","TCP","35830","443","64","0.000025000","2","76.383179000","Not set","Set","3694","35830  >  443 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"315894","78.206914","244.3.160.204","244.3.160.239","TCP","36164","443","64","0.000043000","0","78.206914000","Set","Not set","3789","36164  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"315900","78.207096","244.3.160.239","244.3.160.204","TCP","443","36164","64","0.000004000","0","78.207096000","Set","Set","3789","443  >  36164 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"315903","78.207209","244.3.160.204","244.3.160.239","TCP","36165","8080","64","0.000004000","0","78.207209000","Set","Not set","3790","36165  >  8080 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"315905","78.207275","244.3.160.239","244.3.160.204","TCP","8080","36165","64","0.000005000","1","78.207275000","Not set","Set","3790","8080  >  36165 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"315906","78.207452","244.3.160.204","244.3.160.239","TCP","36166","80","64","0.000177000","0","78.207452000","Set","Not set","3791","36166  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"315908","78.207546","244.3.160.239","244.3.160.204","TCP","80","36166","64","0.000039000","0","78.207546000","Set","Set","3791","80  >  36166 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"316194","78.308794","244.3.160.204","244.3.160.239","TCP","36164","443","64","0.000488000","1","78.308794000","Not set","Set","3789","36164  >  443 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"316195","78.308925","244.3.160.204","244.3.160.239","TCP","36164","443","64","0.000131000","1","78.308925000","Not set","Set","3789","36164  >  443 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"316197","78.309071","244.3.160.239","244.3.160.204","TCP","443","36164","64","0.000122000","1","78.309071000","Not set","Set","3789","443  >  36164 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"316205","78.310452","244.3.160.204","244.3.160.239","TCP","36166","80","64","0.000560000","1","78.310452000","Not set","Set","3791","36166  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"316206","78.310598","244.3.160.204","244.3.160.239","TCP","36166","80","64","0.000146000","1","78.310598000","Not set","Set","3791","36166  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
